categoria|nome|modelo|preco|voltagem
Climatizadores (Antigos)|Cabo de Alimentação|SX050 (A)|30|
Climatizadores (Antigos)|Capacitor|SX050 (A)|50|110V
Climatizadores (Antigos)|Capacitor|SX050 (A)|50|220V
Climatizadores (Antigos)|Colmeia Lateral|SX050 (A)|150|
Climatizadores (Antigos)|Colmeia Traseira|SX050 (A)|200|
Climatizadores (Antigos)|Controle Remoto|SX050 (A)|50|
Climatizadores (Antigos)|Dreno|SX050 (A)|25|
Climatizadores (Antigos)|Estrutura Frontal|SX050 (A)|150|
Climatizadores (Antigos)|Estrutura Lateral|SX050 (A)|100|
Climatizadores (Antigos)|Estrutura Superior|SX050 (A)|100|
Climatizadores (Antigos)|Estrutura Traseira|SX050 (A)|150|
Climatizadores (Antigos)|Filtro Lateral|SX050 (A)|70|
Climatizadores (Antigos)|Filtro Traseiro|SX050 (A)|90|
Climatizadores (Antigos)|Hélice|SX050 (A)|200|
Climatizadores (Antigos)|Kit Colmeia|SX050 (A)|550|
Climatizadores (Antigos)|Limpeza|SX050 (A)|150|
Climatizadores (Antigos)|Motor|SX050 (A)|550|110V
Climatizadores (Antigos)|Motor|SX050 (A)|550|220V
Climatizadores (Antigos)|Motor Swing|SX050 (A)|500|110V
Climatizadores (Antigos)|Motor Swing|SX050 (A)|500|220V
Climatizadores (Antigos)|Pino Eixo Swing|SX050 (A)|25|
Climatizadores (Antigos)|Placa de Comando|SX050 (A)|250|110V
Climatizadores (Antigos)|Placa de Comando|SX050 (A)|250|220V
Climatizadores (Antigos)|Placa de Painel|SX050 (A)|250|110V
Climatizadores (Antigos)|Placa de Painel|SX050 (A)|250|220V
Climatizadores (Antigos)|Reservatório|SX050 (A)|150|
Climatizadores (Antigos)|Rodízios|SX050 (A)|20|
Climatizadores (Antigos)|Swing Aleta|SX050 (A)|25|
Climatizadores (Antigos)|Tampa Superior|SX050 (A)|200|
Climatizadores (Antigos)|Aleta Horizontal|SX065 (A)|20|
Climatizadores (Antigos)|Aleta Vertical|SX065 (A)|20|
Climatizadores (Antigos)|Boia|SX065 (A)|50|
Climatizadores (Antigos)|Bomba d'água|SX065 (A)|200|110V
Climatizadores (Antigos)|Bomba d'água|SX065 (A)|200|220V
Climatizadores (Antigos)|Cabo de Alimentação|SX065 (A)|40|
Climatizadores (Antigos)|Capacitor|SX065 (A)|60|110V
Climatizadores (Antigos)|Capacitor|SX065 (A)|60|220V
Climatizadores (Antigos)|Colmeia Lateral|SX065 (A)|200|
Climatizadores (Antigos)|Colmeia Traseira|SX065 (A)|250|
Climatizadores (Antigos)|Controle Remoto|SX065 (A)|50|
Climatizadores (Antigos)|Dreno|SX065 (A)|25|
Climatizadores (Antigos)|Estrutura Frontal|SX065 (A)|250|
Climatizadores (Antigos)|Estrutura Lateral|SX065 (A)|200|
Climatizadores (Antigos)|Estrutura Superior|SX065 (A)|200|
Climatizadores (Antigos)|Estrutura Traseira|SX065 (A)|250|
Climatizadores (Antigos)|Filtro Colmeia|SX065 (A)|80|
Climatizadores (Antigos)|Hélice|SX065 (A)|250|
Climatizadores (Antigos)|Kit Colmeia|SX065 (A)|950|
Climatizadores (Antigos)|Limpeza|SX065 (A)|200|
Climatizadores (Antigos)|Motor|SX065 (A)|950|110V
Climatizadores (Antigos)|Motor|SX065 (A)|950|220V
Climatizadores (Antigos)|Motor Swing|SX065 (A)|750|110V
Climatizadores (Antigos)|Motor Swing|SX065 (A)|750|220V
Climatizadores (Antigos)|Pino Eixo Swing|SX065 (A)|25|
Climatizadores (Antigos)|Placa de Comando|SX065 (A)|300|110V
Climatizadores (Antigos)|Placa de Comando|SX065 (A)|300|220V
Climatizadores (Antigos)|Placa de Painel|SX065 (A)|250|110V
Climatizadores (Antigos)|Placa de Painel|SX065 (A)|250|220V
Climatizadores (Antigos)|Reservatório|SX065 (A)|250|
Climatizadores (Antigos)|Rodízios|SX065 (A)|35|
Climatizadores (Antigos)|Suporte Rodízios|SX065 (A)|60|
Climatizadores (Antigos)|Swing Aleta|SX065 (A)|30|
Climatizadores (Antigos)|Tampa Superior|SX065 (A)|200|
Climatizadores (Antigos)|Aleta Horizontal|SX070 (A)|20|
Climatizadores (Antigos)|Aleta Vertical|SX070 (A)|20|
Climatizadores (Antigos)|Boia|SX070 (A)|50|
Climatizadores (Antigos)|Bomba d'água|SX070 (A)|200|110V
Climatizadores (Antigos)|Bomba d'água|SX070 (A)|200|220V
Climatizadores (Antigos)|Cabo de Alimentação|SX070 (A)|40|
Climatizadores (Antigos)|Capacitor|SX070 (A)|60|110V
Climatizadores (Antigos)|Capacitor|SX070 (A)|60|220V
Climatizadores (Antigos)|Colmeia Lateral|SX070 (A)|200|
Climatizadores (Antigos)|Colmeia Traseira|SX070 (A)|250|
Climatizadores (Antigos)|Controle Remoto|SX070 (A)|50|
Climatizadores (Antigos)|Dreno|SX070 (A)|25|
Climatizadores (Antigos)|Estrutura Frontal|SX070 (A)|250|
Climatizadores (Antigos)|Estrutura Lateral|SX070 (A)|200|
Climatizadores (Antigos)|Estrutura Superior|SX070 (A)|200|
Climatizadores (Antigos)|Estrutura Traseira|SX070 (A)|250|
Climatizadores (Antigos)|Filtro Colmeia|SX070 (A)|80|
Climatizadores (Antigos)|Hélice|SX070 (A)|250|
Climatizadores (Antigos)|Kit Colmeia|SX070 (A)|950|
Climatizadores (Antigos)|Limpeza|SX070 (A)|200|
Climatizadores (Antigos)|Motor|SX070 (A)|950|110V
Climatizadores (Antigos)|Motor|SX070 (A)|950|220V
Climatizadores (Antigos)|Motor Swing|SX070 (A)|750|110V
Climatizadores (Antigos)|Motor Swing|SX070 (A)|750|220V
Climatizadores (Antigos)|Pino Eixo Swing|SX070 (A)|25|
Climatizadores (Antigos)|Placa de Comando|SX070 (A)|300|110V
Climatizadores (Antigos)|Placa de Comando|SX070 (A)|300|220V
Climatizadores (Antigos)|Placa de Painel|SX070 (A)|250|110V
Climatizadores (Antigos)|Placa de Painel|SX070 (A)|250|220V
Climatizadores (Antigos)|Reservatório|SX070 (A)|250|
Climatizadores (Antigos)|Rodízios|SX070 (A)|35|
Climatizadores (Antigos)|Suporte Rodízios|SX070 (A)|60|
Climatizadores (Antigos)|Swing Aleta|SX070 (A)|30|
Climatizadores (Antigos)|Tampa Superior|SX070 (A)|200|
